"pnt","cbf","count"
"LHPV4","PDL08",100
"LHAV4","ADL01",98
"LHAV4","ADL05",90
"LHPV6","PDL10",81
"LHAV2","ADL04",79
"LHAV5","ADL11",69
"LHAV2","AVL07",62
"LHAV3","ADL10",60
"LHAV6","ADL13",58
"LHPD3","PDL13",52
"LHAD3","ADL17",49
"LHPV4","PDL16",49
"LHPV2","PVL03",49
"LHAD1","ADL15",45
"LHPV5","PDL22",38
"LHPV5","PDL19",37
"LHAD1","ADL03",36
"LHPV6","PDL14",35
"LHPD2","PDL06",31
"LHPV2","PDL09",27
"LHPV5","PDL23",26
"LHPD2","PDL15",25
"LHAV1","AVL02",22
"LHWEDT","AVL01",21
"LHPV5","PDL05",21
"LHAD1","ADL02",20
"LHAV7","ADL19",20
"LHAV6","ADL16",17
"LHAV2","ADL22",17
"LHAV3","AVL18",17
"LHPD1","PDL07",16
"LHWEDT","PVL03",16
"LHPV3","PVL10",16
"LHPD4","PDL11",15
"LHAD2","ADL12",13
"LHAV3","ADL24",13
"LHAV2","AVL04",13
"LHAV3","PDL17",13
"LHAD2","ADL18",10
"LHWEDT","ADM06",9
"LHAV9","AVM13",8
"LHPV2","PDL12",8
"LHPV6","PDL20",8
"LHAV6","ADL09",7
"LHAV7","AVL06",7
"LHAV1","AVL10",7
"LHAV3","ADL04",6
"LHAV7","AVL08",6
"LHPV7","PVL04",6
"LHPV1","PVL17",6
"LHPV10","PDM09",5
"LHPD5","PDM10",5
"LHAV3","SCB",5
"LHAV5","ADL07",4
"LHAD3","ADL14",4
"LHAV2","ADL24",4
"LHPV5","PDL08",4
"LHPD5","PDM11",4
"LHPD4","PDM30",4
"LHPV8","PVL11",4
"LHPD5","PDM07",3
"LHPV2","PVL06",3
"LHAV6","ADL23",2
"LHAD2","ADL27",2
"LHAV1","AVL03",2
"LHAV6","AVL07",2
"LHWEDT","AVL09",2
"LHWEDT","AVM19",2
"LHWEDT","PDL20",2
"LHPD2","PDL26",2
"LHPD5","PDM29",2
"LHPV2","PVL01",2
"LHPV13","PVM04",2
"LHPV12","PVM10",2
"LHPV11","PVM14",2
"LHAV6","ADL07",1
"LHAV3","ADL16",1
"LHAV6","ADL20",1
"LHAD1","ADL26",1
"LHAD4","ADL28",1
"LHAD5","ADM02",1
"LHAV8","AVL23",1
"LHWEDT","AVM06",1
"LHPD1","PDL06",1
"LHPV6","PDL07",1
"LHPV6","PDL27",1
"LHPV6","PDL28",1
"LHPV10","PDM06",1
"LHPV9","PDM08",1
"LHPD4","PDM24",1
"LHPV10","PDM27",1
"LHPD5","PDM30",1
"LHPV1","PVL02",1
"LHPV9","PVM09",1
"LHAV1","SCB",1
"LHAV2","SCB",1
