"","cell.type","Frechter","Miketype","JJtype","datasets"
"1","AD1a1"," TRUE","FALSE","L1","FJ"
"2","AD1a3","FALSE","FALSE","L7","J"
"3","AD1a4"," TRUE","FALSE","FALSE","F"
"4","AD1a5","FALSE","FALSE","L9","J"
"5","AD1a6"," TRUE","16C","FALSE","FM"
"6","AD1b1"," TRUE","FALSE","ML1","FJ"
"7","AD1b1"," TRUE","FALSE","ML2","FJ"
"8","AD1b2"," TRUE","16B","ML3","FMJ"
"9","AD1c1"," TRUE","FALSE","ML5","FJ"
"10","AD1c1"," TRUE","FALSE","ML7","FJ"
"11","AD1c1"," TRUE","FALSE","ML4","FJ"
"12","AD1c3","FALSE","FALSE","ML10","J"
"13","AD1d1","FALSE","16F","FALSE","M"
"14","AD1e1","FALSE","16D","FALSE","M"
"15","AD3b1","FALSE","8A","FALSE","M"
"16","AV1a1","FALSE","FALSE","V3","J"
"17","AV1a2","FALSE","17B","FALSE","M"
"18","AV1a2","FALSE","17C","FALSE","M"
"19","AV1a3","FALSE","17A","FALSE","M"
"20","AV2a1","FALSE","27A","FALSE","M"
"21","AV2a3","FALSE","FALSE","L6","J"
"22","AV2b2","FALSE","FALSE","V2","J"
"23","AV2b3","FALSE","84","FALSE","M"
"24","AV4a1"," TRUE","1H","FALSE","FM"
"25","AV4a11","FALSE","FALSE","LV1","J"
"26","AV4a2","FALSE","FALSE","Local1","J"
"27","AV4a3","FALSE","1B","FALSE","M"
"28","AV4a4","FALSE","1D","FALSE","M"
"29","AV4a5","FALSE","FALSE","Local7","J"
"30","AV4a6","FALSE","FALSE","Local4","J"
"31","AV4a9"," TRUE","FALSE","FALSE","F"
"32","AV4b2","FALSE","101","FALSE","M"
"33","AV4b2","FALSE","1E","FALSE","M"
"34","AV4b3"," TRUE","1A","FALSE","FM"
"35","AV4b6"," TRUE","1G","FALSE","FM"
"36","AV4b7","FALSE","27C","FALSE","M"
"37","AV4c1"," TRUE","FALSE","Local7","FJ"
"38","AV6a1"," TRUE","FALSE","L13","FJ"
"39","AV6a2"," TRUE","7A","L11","FMJ"
"40","AV6a2"," TRUE","7A","L12","FMJ"
"41","AV6b1","FALSE","1C","FALSE","M"
"42","AV6c3","FALSE","125","FALSE","M"
"43","AV6d1","FALSE","FALSE","CML1","J"
"44","AV6d1","FALSE","FALSE","CML2","J"
"45","AV6e1","FALSE","FALSE","L3","J"
"46","AV6e1","FALSE","FALSE","L9","J"
"47","AV7a1","FALSE","147","FALSE","M"
"102","FALSE"," TRUE","FALSE","FALSE","F"
"48","MB-C1","FALSE","85","FALSE","M"
"49","MBON-Calyx","FALSE","142","FALSE","M"
"50","PD2a1","FALSE","FALSE","ML9","J"
"51","PD2a1/b1","FALSE","11A","FALSE","M"
"52","PD2a2"," TRUE","FALSE","ML6","FJ"
"53","PD2a3"," TRUE","FALSE","ML11","FJ"
"54","PD2b1"," TRUE","FALSE","ML8","FJ"
"55","PD2f1","FALSE","120","FALSE","M"
"56","PD3a1","FALSE","116A","Local6","MJ"
"57","PD3a2","FALSE","116B","FALSE","M"
"58","PV1a1","FALSE","143","FALSE","M"
"59","PV2a1"," TRUE","54A","FALSE","FM"
"60","PV2a1"," TRUE","138","FALSE","FM"
"61","PV2b1"," TRUE","FALSE","FALSE","F"
"62","PV2c1","FALSE","54C","FALSE","M"
"63","PV2d1","FALSE","54B","FALSE","M"
"64","PV2e1","FALSE","51B","FALSE","M"
"65","PV3f1","FALSE","123","FALSE","M"
"66","PV4a10","FALSE","4I","FALSE","M"
"67","PV4a11"," TRUE","4C","Local1","FMJ"
"68","PV4a12","FALSE","FALSE","Local3","J"
"69","PV4a12","FALSE","FALSE","Local5","J"
"70","PV4a2"," TRUE","4A","FALSE","FM"
"71","PV4a3"," TRUE","FALSE","FALSE","F"
"72","PV4a4"," TRUE","FALSE","FALSE","F"
"73","PV4a5"," TRUE","4F","FALSE","FM"
"74","PV4a6"," TRUE","FALSE","FALSE","F"
"75","PV4a7","FALSE","4B","FALSE","M"
"76","PV4a9"," TRUE","FALSE","FALSE","F"
"77","PV4b1"," TRUE","29E","FALSE","FM"
"78","PV4b1"," TRUE","4D","FALSE","FM"
"79","PV4b3"," TRUE","FALSE","FALSE","F"
"80","PV4b4","FALSE","114","FALSE","M"
"81","PV4c1","FALSE","76B","FALSE","M"
"82","PV4c2","FALSE","4G","FALSE","M"
"83","PV4c3","FALSE","29G","FALSE","M"
"84","PV4d1"," TRUE","4E","FALSE","FM"
"85","PV4d2","FALSE","29C","FALSE","M"
"86","PV4d3"," TRUE","FALSE","FALSE","F"
"87","PV4d4","FALSE","29D","FALSE","M"
"88","PV4d6","FALSE","29B","FALSE","M"
"89","PV4f1"," TRUE","FALSE","FALSE","F"
"90","PV5a1"," TRUE","3A","FALSE","FM"
"91","PV5a3"," TRUE","FALSE","FALSE","F"
"92","PV5a4","FALSE","3D","FALSE","M"
"93","PV5b1"," TRUE","3C","FALSE","FM"
"94","PV5b2"," TRUE","3B","FALSE","FM"
"95","PV5c1"," TRUE","12A","L15","FMJ"
"96","PV5c1"," TRUE","12B","L15","FMJ"
"97","PV5c2"," TRUE","12C","L14","FMJ"
"98","PV5c3"," TRUE","FALSE","L8","FJ"
"99","PV5g1","FALSE","3E","FALSE","M"
"100","PV5h1","FALSE","3F","FALSE","M"
"101","PV5k1","FALSE","141A","FALSE","M"
