"","JJtype","cell.type"
"29","CML1","AV6d1"
"19","CML2","AV6d1"
"5","L1","AD1a1"
"8","L11","AV6a1"
"27","L12","AV6a1"
"3","L13","AV6a2"
"34","L14","PV5c2"
"1","L15","PV5c1"
"21","L3","AV6e1"
"7","L6","AV2a2"
"28","L7","AD1a3"
"6","L8","PV5c3"
"18","L9","AV6e1"
"26","L9","AD1a3"
"2","Local1","PV4a10"
"10","Local1","AV4a2"
"20","Local3","PV4a11"
"35","Local4","AV4a1"
"11","Local5","PV4a11"
"30","Local6","PD3a1"
"9","Local7","AV4c2"
"31","Local7","AV4a4"
"36","LV1","AV4c3"
"12","ML1","AD1b1"
"24","ML10","AD1e3"
"15","ML11","PD2a3"
"25","ML2","AD1b1"
"16","ML3","AD1b2"
"14","ML4","AD1c1"
"23","ML5","AD1c1"
"13","ML6","PD2a2"
"17","ML7","AD1c1"
"4","ML8","PD2b1"
"33","ML9","PD2a1"
"32","V2","AV2b2"
"22","V3","AV1a1"
